Java HotSpot(TM) 64-Bit Server VM (25.181-b13) for bsd-amd64 JRE (1.8.0_181-b13), built on Jul  7 2018 01:02:31 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 33554432k(3081664k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=209715200 -XX:MaxHeapSize=209715200 -XX:MaxNewSize=104857600 -XX:MaxTenuringThreshold=15 -XX:NewSize=104857600 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=31457280 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=2 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
0.162: [GC (Allocation Failure) 0.162: [ParNew: 45075K->572K(76800K), 0.0012123 secs] 45075K->572K(179200K), 0.0013295 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
13.357: [GC (Allocation Failure) 13.357: [ParNew: 41959K->0K(76800K), 0.0009469 secs] 42809K->849K(179200K), 0.0010745 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
13.364: [GC (Allocation Failure) 13.364: [ParNew: 41959K->0K(76800K), 0.0004555 secs] 42809K->849K(179200K), 0.0005078 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.371: [GC (Allocation Failure) 14.371: [ParNew: 41959K->0K(76800K), 0.0006282 secs] 42809K->849K(179200K), 0.0007304 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.376: [GC (Allocation Failure) 14.376: [ParNew: 41959K->0K(76800K), 0.0004321 secs] 42809K->849K(179200K), 0.0004844 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.384: [GC (Allocation Failure) 15.384: [ParNew: 41959K->0K(76800K), 0.0009771 secs] 42809K->849K(179200K), 0.0011159 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
15.391: [GC (Allocation Failure) 15.391: [ParNew: 41959K->0K(76800K), 0.0004614 secs] 42809K->849K(179200K), 0.0005113 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.400: [GC (Allocation Failure) 16.400: [ParNew: 41959K->0K(76800K), 0.0009345 secs] 42809K->849K(179200K), 0.0010716 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.407: [GC (Allocation Failure) 16.407: [ParNew: 41959K->0K(76800K), 0.0004690 secs] 42809K->849K(179200K), 0.0005208 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.412: [GC (Allocation Failure) 17.412: [ParNew: 41959K->0K(76800K), 0.0004903 secs] 42809K->849K(179200K), 0.0005637 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
17.417: [GC (Allocation Failure) 17.417: [ParNew: 41959K->0K(76800K), 0.0004049 secs] 42809K->849K(179200K), 0.0004548 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
18.426: [GC (Allocation Failure) 18.426: [ParNew: 41959K->0K(76800K), 0.0006958 secs] 42809K->849K(179200K), 0.0007859 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.432: [GC (Allocation Failure) 18.432: [ParNew: 41959K->0K(76800K), 0.0005319 secs] 42809K->849K(179200K), 0.0005896 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.437: [GC (Allocation Failure) 19.437: [ParNew: 41959K->0K(76800K), 0.0006186 secs] 42809K->849K(179200K), 0.0007192 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
19.443: [GC (Allocation Failure) 19.443: [ParNew: 41959K->0K(76800K), 0.0004259 secs] 42809K->849K(179200K), 0.0004834 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.451: [GC (Allocation Failure) 20.451: [ParNew: 41959K->0K(76800K), 0.0005098 secs] 42809K->849K(179200K), 0.0005803 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
20.456: [GC (Allocation Failure) 20.456: [ParNew: 41959K->0K(76800K), 0.0010359 secs] 42809K->849K(179200K), 0.0011288 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.466: [GC (Allocation Failure) 21.466: [ParNew: 41959K->0K(76800K), 0.0010747 secs] 42809K->849K(179200K), 0.0011838 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.472: [GC (Allocation Failure) 21.472: [ParNew: 41959K->0K(76800K), 0.0005441 secs] 42809K->849K(179200K), 0.0006014 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.481: [GC (Allocation Failure) 22.481: [ParNew: 41959K->0K(76800K), 0.0008976 secs] 42809K->849K(179200K), 0.0010259 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
22.487: [GC (Allocation Failure) 22.487: [ParNew: 41959K->0K(76800K), 0.0004538 secs] 42809K->849K(179200K), 0.0005063 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
23.494: [GC (Allocation Failure) 23.494: [ParNew: 41959K->0K(76800K), 0.0006129 secs] 42809K->849K(179200K), 0.0006960 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
23.499: [GC (Allocation Failure) 23.499: [ParNew: 41959K->0K(76800K), 0.0003892 secs] 42809K->849K(179200K), 0.0004419 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.505: [GC (Allocation Failure) 24.505: [ParNew: 41959K->0K(76800K), 0.0008084 secs] 42809K->849K(179200K), 0.0009280 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.511: [GC (Allocation Failure) 24.511: [ParNew: 41959K->0K(76800K), 0.0004394 secs] 42809K->849K(179200K), 0.0005077 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
25.520: [GC (Allocation Failure) 25.520: [ParNew: 41959K->0K(76800K), 0.0006408 secs] 42809K->849K(179200K), 0.0007292 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
25.526: [GC (Allocation Failure) 25.526: [ParNew: 41959K->0K(76800K), 0.0003677 secs] 42809K->849K(179200K), 0.0004245 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
26.533: [GC (Allocation Failure) 26.533: [ParNew: 41959K->0K(76800K), 0.0007082 secs] 42809K->849K(179200K), 0.0008035 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
26.539: [GC (Allocation Failure) 26.539: [ParNew: 41959K->0K(76800K), 0.0008428 secs] 42809K->849K(179200K), 0.0009018 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.547: [GC (Allocation Failure) 27.548: [ParNew: 41959K->0K(76800K), 0.0004455 secs] 42809K->849K(179200K), 0.0005230 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.552: [GC (Allocation Failure) 27.552: [ParNew: 41959K->0K(76800K), 0.0004833 secs] 42809K->849K(179200K), 0.0005658 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.557: [GC (Allocation Failure) 28.557: [ParNew: 41959K->0K(76800K), 0.0003836 secs] 42809K->849K(179200K), 0.0004391 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.562: [GC (Allocation Failure) 28.562: [ParNew: 41959K->0K(76800K), 0.0003118 secs] 42809K->849K(179200K), 0.0003614 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.570: [GC (Allocation Failure) 29.570: [ParNew: 41959K->0K(76800K), 0.0006313 secs] 42809K->849K(179200K), 0.0007129 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.575: [GC (Allocation Failure) 29.575: [ParNew: 41959K->0K(76800K), 0.0003758 secs] 42809K->849K(179200K), 0.0004253 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
30.583: [GC (Allocation Failure) 30.583: [ParNew: 41959K->0K(76800K), 0.0006842 secs] 42809K->849K(179200K), 0.0007774 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
30.589: [GC (Allocation Failure) 30.589: [ParNew: 41959K->0K(76800K), 0.0003924 secs] 42809K->849K(179200K), 0.0004492 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.594: [GC (Allocation Failure) 31.594: [ParNew: 41959K->0K(76800K), 0.0006584 secs] 42809K->849K(179200K), 0.0007683 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.599: [GC (Allocation Failure) 31.600: [ParNew: 41959K->0K(76800K), 0.0004403 secs] 42809K->849K(179200K), 0.0005056 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.606: [GC (Allocation Failure) 32.606: [ParNew: 41959K->0K(76800K), 0.0008787 secs] 42809K->849K(179200K), 0.0010222 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.612: [GC (Allocation Failure) 32.612: [ParNew: 41959K->0K(76800K), 0.0005851 secs] 42809K->849K(179200K), 0.0006421 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
33.621: [GC (Allocation Failure) 33.621: [ParNew: 41959K->0K(76800K), 0.0004084 secs] 42809K->849K(179200K), 0.0004750 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
33.625: [GC (Allocation Failure) 33.625: [ParNew: 41959K->0K(76800K), 0.0003874 secs] 42809K->849K(179200K), 0.0004519 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
34.633: [GC (Allocation Failure) 34.633: [ParNew: 41959K->0K(76800K), 0.0008648 secs] 42809K->849K(179200K), 0.0009815 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
34.639: [GC (Allocation Failure) 34.639: [ParNew: 41959K->0K(76800K), 0.0004090 secs] 42809K->849K(179200K), 0.0004920 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
35.647: [GC (Allocation Failure) 35.647: [ParNew: 41959K->0K(76800K), 0.0005522 secs] 42809K->849K(179200K), 0.0006439 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
35.652: [GC (Allocation Failure) 35.652: [ParNew: 41959K->0K(76800K), 0.0004458 secs] 42809K->849K(179200K), 0.0005108 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
36.657: [GC (Allocation Failure) 36.658: [ParNew: 41959K->0K(76800K), 0.0009819 secs] 42809K->849K(179200K), 0.0011244 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
36.664: [GC (Allocation Failure) 36.664: [ParNew: 41959K->0K(76800K), 0.0005042 secs] 42809K->849K(179200K), 0.0005626 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
37.671: [GC (Allocation Failure) 37.671: [ParNew: 41959K->0K(76800K), 0.0004341 secs] 42809K->849K(179200K), 0.0004988 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
37.676: [GC (Allocation Failure) 37.676: [ParNew: 41959K->0K(76800K), 0.0004427 secs] 42809K->849K(179200K), 0.0005018 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.683: [GC (Allocation Failure) 38.683: [ParNew: 41959K->0K(76800K), 0.0004729 secs] 42809K->849K(179200K), 0.0005705 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
38.687: [GC (Allocation Failure) 38.687: [ParNew: 41959K->0K(76800K), 0.0003929 secs] 42809K->849K(179200K), 0.0004471 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.692: [GC (Allocation Failure) 39.692: [ParNew: 41959K->0K(76800K), 0.0004010 secs] 42809K->849K(179200K), 0.0004683 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.697: [GC (Allocation Failure) 39.697: [ParNew: 41959K->0K(76800K), 0.0004092 secs] 42809K->849K(179200K), 0.0004795 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
40.702: [GC (Allocation Failure) 40.702: [ParNew: 41959K->0K(76800K), 0.0004388 secs] 42809K->849K(179200K), 0.0005273 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
40.706: [GC (Allocation Failure) 40.706: [ParNew: 41959K->0K(76800K), 0.0003864 secs] 42809K->849K(179200K), 0.0004385 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
41.711: [GC (Allocation Failure) 41.711: [ParNew: 41959K->0K(76800K), 0.0005268 secs] 42809K->849K(179200K), 0.0006150 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
41.716: [GC (Allocation Failure) 41.716: [ParNew: 41959K->0K(76800K), 0.0004210 secs] 42809K->849K(179200K), 0.0004859 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
42.722: [GC (Allocation Failure) 42.722: [ParNew: 41959K->0K(76800K), 0.0006702 secs] 42809K->849K(179200K), 0.0007660 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
42.728: [GC (Allocation Failure) 42.728: [ParNew: 41959K->0K(76800K), 0.0004080 secs] 42809K->849K(179200K), 0.0004590 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
43.737: [GC (Allocation Failure) 43.737: [ParNew: 41959K->0K(76800K), 0.0004230 secs] 42809K->849K(179200K), 0.0004940 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
43.741: [GC (Allocation Failure) 43.741: [ParNew: 41959K->0K(76800K), 0.0003863 secs] 42809K->849K(179200K), 0.0004658 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
44.748: [GC (Allocation Failure) 44.748: [ParNew: 41959K->0K(76800K), 0.0004280 secs] 42809K->849K(179200K), 0.0004996 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
44.753: [GC (Allocation Failure) 44.753: [ParNew: 41959K->0K(76800K), 0.0003741 secs] 42809K->849K(179200K), 0.0004229 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
45.760: [GC (Allocation Failure) 45.760: [ParNew: 41959K->0K(76800K), 0.0005156 secs] 42809K->849K(179200K), 0.0006001 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
45.765: [GC (Allocation Failure) 45.765: [ParNew: 41959K->0K(76800K), 0.0003993 secs] 42809K->849K(179200K), 0.0004483 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
46.771: [GC (Allocation Failure) 46.771: [ParNew: 41959K->0K(76800K), 0.0005230 secs] 42809K->849K(179200K), 0.0006073 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
46.776: [GC (Allocation Failure) 46.776: [ParNew: 41959K->0K(76800K), 0.0003410 secs] 42809K->849K(179200K), 0.0004117 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
47.784: [GC (Allocation Failure) 47.784: [ParNew: 41959K->0K(76800K), 0.0005111 secs] 42809K->849K(179200K), 0.0005995 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
47.789: [GC (Allocation Failure) 47.789: [ParNew: 41959K->0K(76800K), 0.0004201 secs] 42809K->849K(179200K), 0.0004743 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
48.798: [GC (Allocation Failure) 48.798: [ParNew: 41959K->0K(76800K), 0.0005406 secs] 42809K->849K(179200K), 0.0006305 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
48.803: [GC (Allocation Failure) 48.803: [ParNew: 41959K->0K(76800K), 0.0003864 secs] 42809K->849K(179200K), 0.0004378 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
49.811: [GC (Allocation Failure) 49.811: [ParNew: 41959K->0K(76800K), 0.0004226 secs] 42809K->849K(179200K), 0.0004789 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
49.815: [GC (Allocation Failure) 49.815: [ParNew: 41959K->0K(76800K), 0.0003231 secs] 42809K->849K(179200K), 0.0003638 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
50.820: [GC (Allocation Failure) 50.820: [ParNew: 41959K->0K(76800K), 0.0009506 secs] 42809K->849K(179200K), 0.0010874 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
50.827: [GC (Allocation Failure) 50.827: [ParNew: 41959K->0K(76800K), 0.0004915 secs] 42809K->849K(179200K), 0.0005662 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
51.835: [GC (Allocation Failure) 51.835: [ParNew: 41959K->0K(76800K), 0.0003308 secs] 42809K->849K(179200K), 0.0003843 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
51.839: [GC (Allocation Failure) 51.839: [ParNew: 41959K->0K(76800K), 0.0003270 secs] 42809K->849K(179200K), 0.0003657 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
52.845: [GC (Allocation Failure) 52.845: [ParNew: 41959K->0K(76800K), 0.0003249 secs] 42809K->849K(179200K), 0.0003836 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
52.849: [GC (Allocation Failure) 52.849: [ParNew: 41959K->0K(76800K), 0.0003580 secs] 42809K->849K(179200K), 0.0004028 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
53.857: [GC (Allocation Failure) 53.857: [ParNew: 41959K->0K(76800K), 0.0003793 secs] 42809K->849K(179200K), 0.0004343 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
53.861: [GC (Allocation Failure) 53.861: [ParNew: 41959K->0K(76800K), 0.0003764 secs] 42809K->849K(179200K), 0.0004306 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
54.870: [GC (Allocation Failure) 54.870: [ParNew: 41959K->0K(76800K), 0.0004290 secs] 42809K->849K(179200K), 0.0005159 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
54.874: [GC (Allocation Failure) 54.874: [ParNew: 41959K->0K(76800K), 0.0003936 secs] 42809K->849K(179200K), 0.0004465 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
55.883: [GC (Allocation Failure) 55.883: [ParNew: 41959K->0K(76800K), 0.0004156 secs] 42809K->849K(179200K), 0.0004839 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
55.888: [GC (Allocation Failure) 55.888: [ParNew: 41959K->0K(76800K), 0.0003944 secs] 42809K->849K(179200K), 0.0004593 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
56.894: [GC (Allocation Failure) 56.894: [ParNew: 41959K->0K(76800K), 0.0008923 secs] 42809K->849K(179200K), 0.0009558 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
56.899: [GC (Allocation Failure) 56.899: [ParNew: 41959K->0K(76800K), 0.0005413 secs] 42809K->849K(179200K), 0.0005970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
57.908: [GC (Allocation Failure) 57.908: [ParNew: 41959K->0K(76800K), 0.0009300 secs] 42809K->849K(179200K), 0.0010092 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
57.913: [GC (Allocation Failure) 57.913: [ParNew: 41959K->0K(76800K), 0.0004459 secs] 42809K->849K(179200K), 0.0005052 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
58.920: [GC (Allocation Failure) 58.921: [ParNew: 41959K->0K(76800K), 0.0009194 secs] 42809K->849K(179200K), 0.0010457 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
58.926: [GC (Allocation Failure) 58.927: [ParNew: 41959K->0K(76800K), 0.0012433 secs] 42809K->849K(179200K), 0.0013095 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
59.936: [GC (Allocation Failure) 59.936: [ParNew: 41959K->0K(76800K), 0.0003391 secs] 42809K->849K(179200K), 0.0004017 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
59.940: [GC (Allocation Failure) 59.940: [ParNew: 41959K->0K(76800K), 0.0003477 secs] 42809K->849K(179200K), 0.0003856 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
60.947: [GC (Allocation Failure) 60.947: [ParNew: 41959K->0K(76800K), 0.0004555 secs] 42809K->849K(179200K), 0.0005117 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
60.951: [GC (Allocation Failure) 60.951: [ParNew: 41959K->0K(76800K), 0.0008572 secs] 42809K->849K(179200K), 0.0008961 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
61.960: [GC (Allocation Failure) 61.960: [ParNew: 41959K->0K(76800K), 0.0004881 secs] 42809K->849K(179200K), 0.0005524 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
61.964: [GC (Allocation Failure) 61.964: [ParNew: 41959K->0K(76800K), 0.0003020 secs] 42809K->849K(179200K), 0.0003400 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
62.970: [GC (Allocation Failure) 62.970: [ParNew: 41959K->0K(76800K), 0.0003419 secs] 42809K->849K(179200K), 0.0003969 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
62.974: [GC (Allocation Failure) 62.974: [ParNew: 41959K->0K(76800K), 0.0003028 secs] 42809K->849K(179200K), 0.0003404 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
63.983: [GC (Allocation Failure) 63.983: [ParNew: 41959K->0K(76800K), 0.0004010 secs] 42809K->849K(179200K), 0.0004833 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
63.987: [GC (Allocation Failure) 63.987: [ParNew: 41959K->0K(76800K), 0.0004443 secs] 42809K->849K(179200K), 0.0004964 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
64.994: [GC (Allocation Failure) 64.994: [ParNew: 41959K->0K(76800K), 0.0003280 secs] 42809K->849K(179200K), 0.0003878 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
64.998: [GC (Allocation Failure) 64.998: [ParNew: 41959K->0K(76800K), 0.0004283 secs] 42809K->849K(179200K), 0.0004667 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.004: [GC (Allocation Failure) 66.005: [ParNew: 41959K->0K(76800K), 0.0003619 secs] 42809K->849K(179200K), 0.0004314 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
66.010: [GC (Allocation Failure) 66.010: [ParNew: 41959K->0K(76800K), 0.0003157 secs] 42809K->849K(179200K), 0.0003806 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.016: [GC (Allocation Failure) 67.016: [ParNew: 41959K->0K(76800K), 0.0004074 secs] 42809K->849K(179200K), 0.0004833 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
